systematic	common	uniprot	in_orthodb	orthodb_og
YDR449C	UTP6	Q02354	N	
YDR450W	RPS18A	P0CX55	N	
YDR451C	YHP1	Q04116	N	
YDR452W	PPN1	Q04119	N	
YDR453C	TSA2	Q04120	N	
YDR454C	GUK1	P15454	N	
YDR455C		P87271	N	
YDR456W	NHX1	Q04121	N	
YDR457W	TOM1	Q03280	N	
YDR458C	HEH2	Q03281	N	
YDR459C	PFA5	Q03289	N	
YDR460W	TFB3	Q03290	N	
YDR461C-A		Q2V2P7	N	
YDR461W	MFA1	P34165	N	
YDR462W	MRPL28	P36527	N	
YDR463W	STP1	Q00947	N	
YDR464C-A		Q8TGP5	N	
YDR464W	SPP41	P38904	N	
YDR465C	RMT2	Q03305	N	
YDR466W	PKH3	Q03306	N	
YDR467C		P87264	N	
YDR468C	TLG1	Q03322	N	
YDR469W	SDC1	Q03323	N	
YDR470C	UGO1	Q03327	N	
YDR471W	RPL27B	P0C2H7	N	
YDR472W	TRS31	Q03337	N	
YDR473C	PRP3	Q03338	N	
YDR475C	JIP4	Q03361	N	
YDR476C		Q03362	N	
YDR477W	SNF1	P06782	N	
YDR478W	SNM1	P40993	N	
YDR479C	PEX29	Q03370	N	
YDR480W	DIG2	Q03373	N	
YDR481C	PHO8	P11491	N	
YDR482C	CWC21	Q03375	N	
YDR483W	KRE2	P27809	N	
YDR484W	VPS52	P39904	N	
YDR485C	VPS72	Q03388	N	
YDR486C	VPS60	Q03390	N	
YDR487C	RIB3	Q99258	N	
YDR488C	PAC11	P40960	N	
YDR489W	SLD5	Q03406	N	
YDR490C	PKH1	Q03407	N	
YDR491C		Q03418	N	
YDR492W	IZH1	Q03419	N	
YDR493W	MZM1	Q03429	N	
YDR494W	RSM28	Q03430	N	
YDR495C	VPS3	P23643	N	
YDR496C	PUF6	Q04373	N	
YDR497C	ITR1	P30605	N	
YDR498C	SEC20	P28791	N	
YDR499W	LCD1	Q04377	N	
YDR500C	RPL37B	P51402	N	
YDR501W	PLM2	Q04383	N	
YDR502C	SAM2	P19358	N	
YDR503C	LPP1	Q04396	N	
YDR504C	SPG3	Q04398	N	
YDR505C	PSP1	P50896	N	
YDR506C	GMC1	Q04399	N	
YDR507C	GIN4	Q12263	N	
YDR508C	GNP1	P48813	N	
YDR509W		P87272	N	
YDR510C-A		Q8TGR7	N	
YDR510W	SMT3	Q12306	N	
YDR511W	SDH7	Q04401	N	
YDR512C	EMI1	Q04406	N	
YDR513W	GRX2	P17695	N	
YDR514C		Q04408	N	
YDR515W	SLF1	Q12034	N	
YDR516C	EMI2	Q04409	N	
YDR517W	GRH1	Q04410	N	
YDR518W	EUG1	P32474	N	
YDR519W	FPR2	P32472	N	
YDR520C	URC2	Q04411	N	
YDR521W		P87273	N	
YDR522C	SPS2	P08459	N	
YDR523C	SPS1	P08458	N	
YDR524C	AGE1	Q04412	N	
YDR524C-A		Q8TGR6	N	
YDR524C-B		Q3E6R4	N	
YDR524W-C		P0C1Z1	N	
YDR525W	API2	Q04413	N	
YDR525W-A	SNA2	P56508	N	
YDR526C		P87274	N	
YDR527W	RBA50	Q04418	N	
YDR528W	HLR1	Q04429	N	
YDR529C	QCR7	P00128	N	
YDR530C	APA2	P22108	N	
YDR531W	CAB1	Q04430	Y	4841289at2759
YDR532C	KRE28	Q04431	N	
YDR533C	HSP31	Q04432	N	
YDR534C	FIT1	Q04433	N	
YDR535C		Q04434	N	
YDR536W	STL1	P39932	N	
YDR537C		P87261	N	
YDR538W	PAD1	P33751	N	
YDR539W	FDC1	Q03034	N	
YDR540C	IRC4	Q03036	N	
YDR541C		Q03049	N	
YDR542W	PAU10	Q03050	N	
YDR543C		Q03051	N	
YDR544C		Q03057	N	
YDR545C-A		P0CL37	N	
YDR545W	YRF1-1	P0CX20	N	
YEL001C	IRC22	P40006	N	
YEL002C	WBP1	P33767	N	
YEL003W	GIM4	P40005	N	
YEL004W	YEA4	P40004	N	
YEL005C	VAB2	P40003	N	
YEL006W	YEA6	P39953	N	
YEL007W	MIT1	P40002	N	
YEL008C-A		Q8TGP3	N	
YEL008W		P40001	N	
YEL009C	GCN4	P03069	N	
YEL009C-A		A0A023PZF2	N	
YEL010W		P40000	N	
YEL011W	GLC3	P32775	N	
YEL012W	UBC8	P28263	N	
YEL013W	VAC8	P39968	Y	57562at2759
YEL014C		P39999	N	
YEL015W	EDC3	P39998	N	
YEL016C	NPP2	P39997	N	
YEL017C-A	PMP2	P40975	N	
YEL017W	GTT3	P39996	N	
YEL018C-A		A0A023PYD9	N	
YEL018W	EAF5	P39995	N	
YEL019C	MMS21	P38632	N	
YEL020C	PXP1	P39994	N	
YEL020C-B		P0C5M6	N	
YEL020W-A	TIM9	O74700	N	
YEL021W	URA3	P03962	N	
YEL022W	GEA2	P39993	N	
YEL023C		P39992	N	
YEL024W	RIP1	P08067	N	
YEL025C		P39991	N	
YEL026W	SNU13	P39990	N	
YEL027W	VMA3	P25515	N	
YEL028W		P39989	N	
YEL029C	BUD16	P39988	N	
YEL030C-A		Q8TGR5	N	
YEL030W	ECM10	P39987	N	
YEL031W	SPF1	P39986	N	
YEL032C-A		Q8TGP4	N	
YEL032W	MCM3	P24279	N	
YEL033W	MTC7	P32633	N	
YEL034C-A		Q02217	N	
YEL034W	HYP2	P23301	N	
YEL035C	UTR5	P32630	N	
YEL036C	ANP1	P32629	N	
YEL037C	RAD23	P32628	N	
YEL038W	UTR4	P32626	N	
YEL039C	CYC7	P00045	N	
YEL040W	UTR2	P32623	N	
YEL041W	YEF1	P32622	N	
YEL042W	GDA1	P32621	N	
YEL043W	YEF3	P32618	N	
YEL044W	IES6	P32617	N	
YEL045C		P32616	N	
YEL046C	GLY1	P37303	N	
YEL047C	FRD1	P32614	N	
YEL048C	TCA17	P32613	N	
YEL049W	PAU2	P32612	N	
YEL050C	RML2	P32611	N	
YEL050W-A		P0C5M7	N	
YEL051W	VMA8	P32610	N	
YEL052W	AFG1	P32317	N	
YEL053C	MAK10	Q02197	N	
YEL053W-A		A0A023PXC2	N	
YEL054C	RPL12A	P0CX53	N	
YEL055C	POL5	P39985	N	
YEL056W	HAT2	P39984	N	
YEL057C	SDD1	P39983	N	
YEL058W	PCM1	P38628	N	
YEL059C-A	SOM1	Q05676	N	
YEL059W	HHY1	P39982	N	
YEL060C	PRB1	P09232	N	
YEL061C	CIN8	P27895	N	
YEL062W	NPR2	P39923	N	
YEL063C	CAN1	P04817	N	
YEL064C	AVT2	P39981	N	
YEL065W	SIT1	P39980	N	
YEL066W	HPA3	P39979	N	
YEL067C		P39978	N	
YEL068C		P39977	N	
YEL069C	HXT13	P39924	N	
YEL070W	DSF1	P0CX08	N	
YEL071W	DLD3	P39976	N	
YEL072W	RMD6	P39975	N	
YEL073C		P39974	N	
YEL074W		P39973	N	
YEL075C		P39972	N	
YEL075W-A		P89888	N	
YEL076C		P39971	N	
YEL076C-A		P0CX16	N	
YEL077C		Q3E7X8	N	
YEL077W-A		P0CX95	N	
YER001W	MNN1	P39106	N	
YER002W	NOP16	P40007	N	
YER003C	PMI40	P29952	N	
YER004W	FMP52	P40008	N	
YER005W	YND1	P40009	N	
YER006C-A		A0A023PXI8	N	
YER006W	NUG1	P40010	N	
YER007C-A	TMA20	P89886	N	
YER007W	PAC2	P39937	N	
YER008C	SEC3	P33332	N	
YER009W	NTF2	P33331	N	
YER010C		P40011	N	
YER011W	TIR1	P10863	N	
YER012W	PRE1	P22141	N	
YER013W	PRP22	P24384	Y	194710at2759
YER014C-A	BUD25	P85052	N	
YER014W	HEM14	P40012	N	
YER015W	FAA2	P39518	N	
YER016W	BIM1	P40013	Y	5019299at2759
YER017C	AFG3	P39925	N	
YER018C	SPC25	P40014	N	
YER019C-A	SBH2	P52871	N	
YER019W	ISC1	P40015	N	
YER020W	GPA2	P10823	N	
YER021W	RPN3	P40016	N	
YER022W	SRB4	P32569	N	
YER023C-A		Q8TGP2	N	
YER023W	PRO3	P32263	N	
YER024W	YAT2	P40017	N	
YER025W	GCD11	P32481	N	
YER026C	CHO1	P08456	N	
YER027C	GAL83	Q04739	N	
YER028C	MIG3	P39943	N	
YER029C	SMB1	P40018	N	
YER030W	CHZ1	P40019	N	
YER031C	YPT31	P38555	Y	794814at2759
YER032W	FIR1	P40020	N	
YER033C	ZRG8	P40021	N	
YER034W		P40022	N	
YER035W	EDC2	P40023	N	
YER036C	ARB1	P40024	N	
YER037W	PHM8	P40025	N	
YER038C	KRE29	P40026	N	
YER038W-A	FMP49	A0A023PZB3	N	
YER039C	HVG1	P0CE11	N	
YER039C-A		P0CD97	N	
YER040W	GLN3	P18494	N	
YER041W	YEN1	P40028	N	
YER042W	MXR1	P40029	N	
YER043C	SAH1	P39954	N	
YER044C	ERG28	P40030	N	
YER044C-A	MEI4	P29467	N	
YER045C	ACA1	P39970	N	
YER046W	SPO73	P40031	N	
YER046W-A		A0A023PZF5	N	
YER047C	SAP1	P39955	N	
YER048C	CAJ1	P39101	Y	4932650at2759
YER048W-A	ISD11	Q6Q560	N	
YER049W	TPA1	P40032	N	
YER050C	RSM18	P40033	N	
YER051W	JHD1	P40034	N	
YER052C	HOM3	P10869	N	
YER053C	PIC2	P40035	N	
YER053C-A		Q3E7B0	N	
YER054C	GIP2	P40036	N	
YER055C	HIS1	P00498	N	
YER056C	FCY2	P17064	N	
YER056C-A	RPL34A	P87262	N	
YER057C	HMF1	P40037	N	
YER058W	PET117	Q02771	N	
YER059W	PCL6	P40038	N	
YER060W	FCY21	P40039	N	
YER060W-A	FCY22	Q12119	N	
YER061C	CEM1	P39525	N	
YER062C	GPP2	P40106	N	
YER063W	THO1	P40040	N	
YER064C	VHR2	P40041	N	
YER065C	ICL1	P28240	N	
YER066C-A		P87263	N	
YER066W	RRT13	P40042	N	
YER067C-A		A0A023PYE4	N	
YER067W	RGI1	P40043	N	
YER068C-A		A0A023PXC7	N	
YER068W	MOT2	P34909	N	
YER069W	ARG5,6	Q01217	N	
YER070W	RNR1	P21524	N	
YER071C	TDA2	P40045	N	
YER072W	VTC1	P40046	N	
YER073W	ALD5	P40047	Y	5006558at2759
YER074W	RPS24A	P0CX31	N	
YER074W-A	YOS1	Q3E834	N	
YER075C	PTP3	P40048	N	
YER076C		P40049	N	
YER076W-A		A0A023PXJ3	N	
YER077C	MRX1	P40050	N	
YER078C	ICP55	P40051	N	
YER078W-A		Q3E7A2	N	
YER079C-A		A0A023PZB8	N	
YER079W		P40052	N	
YER080W	AIM9	P40053	N	
YER081W	SER3	P40054	N	
YER082C	UTP7	P40055	N	
YER083C	GET2	P40056	N	
YER084W		P40057	N	
YER084W-A		A0A023PZG0	N	
YER085C		P40058	N	
YER086W	ILV1	P00927	N	
YER087C-A		A0A023PYE9	N	
YER087C-B	SBH1	P52870	N	
YER087W	AIM10	P39965	N	
YER088C	DOT6	P40059	N	
YER088C-A		A0A023PXD3	N	
YER088W-B		Q8TGR4	N	
YER089C	PTC2	P39966	N	
YER090C-A		P0C5M8	N	
YER090W	TRP2	P00899	N	
YER091C	MET6	P05694	N	
YER091C-A		Q02590	N	
YER092W	IES5	P40060	N	
YER093C	TSC11	P40061	N	
YER093C-A	AIM11	P87275	N	
YER094C	PUP3	P25451	Y	5012454at2759
YER095W	RAD51	P25454	N	
YER096W	SHC1	P39000	N	
YER097W		P40062	N	
YER098W	UBP9	P39967	N	
YER099C	PRS2	P38620	N	
YER100W	UBC6	P33296	N	
YER101C	AST2	P39945	N	
YER102W	RPS8B	P0CX40	N	
YER103W	SSA4	P22202	N	
YER104W	RTT105	P40063	N	
YER105C	NUP157	P40064	N	
YER106W	MAM1	P40065	N	
YER107C	GLE2	P40066	N	
YER107W-A		A0A023PXJ7	N	
YER109C	FLO8	P40068	N	
YER110C	KAP123	P40069	N	
YER111C	SWI4	P25302	N	
YER112W	LSM4	P40070	N	
YER113C	TMN3	P40071	N	
YER114C	BOI2	P39969	N	
YER115C	SPR6	Q01684	N	
YER116C	SLX8	P40072	N	
YER117W	RPL23B	P0CX42	N	
YER118C	SHO1	P40073	N	
YER119C	AVT6	P40074	N	
YER119C-A		P87191	N	
YER120W	SCS2	P40075	N	
YER121W		P40076	N	
YER122C	GLO3	P38682	N	
YER123W	YCK3	P39962	Y	533331at2759
YER124C	DSE1	P40077	N	
YER125W	RSP5	P39940	N	
YER126C	NSA2	P40078	N	
YER127W	LCP5	P40079	N	
YER128W	VFA1	P40080	N	
YER129W	SAK1	P38990	N	
YER130C		P39959	N	
YER131W	RPS26B	P39939	N	
YER132C	PMD1	P32634	N	
YER133W	GLC7	P32598	Y	412870at2759
YER133W-A		A0A023PZC3	N	
YER134C		P40081	N	
YER135C		P40082	N	
YER136W	GDI1	P39958	N	
YER137C		P40083	N	
YER137C-A	TY1A-ER1	P0CX71	N	
YER137W-A		A0A023PZG5	N	
YER138C	TY1B-ER1	Q03612	N	
YER138W-A		P0C270	N	
YER139C	RTR1	P40084	N	
YER140W	EMP65	P40085	N	
YER141W	COX15	P40086	N	
YER142C	MAG1	P22134	N	
YER143W	DDI1	P40087	N	
YER144C	UBP5	P39944	N	
YER145C	FTR1	P40088	N	
YER145C-A		A0A023PYF4	N	
YER146W	LSM5	P40089	N	
YER147C	SCC4	P40090	N	
YER147C-A		A0A023PXD5	N	
YER148W	SPT15	P13393	N	
YER148W-A		A0A023PXK2	N	
YER149C	PEA2	P40091	N	
YER150W	SPI1	P40092	N	
YER151C	UBP3	Q01477	N	
YER152C		P10356	N	
YER152W-A		A0A023PZC7	N	
YER153C	PET122	P10355	N	
YER154W	OXA1	P39952	N	
YER155C	BEM2	P39960	N	
YER156C		P40093	N	
YER157W	COG3	P40094	N	
YER158C		P40095	N	
YER158W-A		Q8TGR3	N	
YER159C	BUR6	P40096	N	
YER159C-A	TY1A-ER2	P0CX66	N	
YER160C	TY1B-ER2	Q03619	N	
YER161C	SPT2	P06843	N	
YER162C	RAD4	P14736	N	
YER163C	GCG1	P32656	N	
YER164W	CHD1	P32657	N	
YER165C-A		A0A023PZH1	N	
YER165W	PAB1	P04147	N	
YER166W	DNF1	P32660	N	
YER167W	BCK2	P33306	N	
YER168C	CCA1	P21269	N	
YER169W	RPH1	P39956	N	
YER170W	ADK2	P26364	N	
YER171W	RAD3	P06839	N	
YER172C	BRR2	P32639	N	
YER172C-A		A0A023PYF7	N	
YER173W	RAD24	P32641	N	
YER174C	GRX4	P32642	N	
YER175C	TMT1	P32643	N	
YER175W-A		Q8TGU4	N	
YER176W	ECM32	P32644	N	
YER177W	BMH1	P29311	Y	783301at2759
YER178W	PDA1	P16387	N	
YER179W	DMC1	P25453	N	
YER180C	ISC10	P32645	N	
YER180C-A	SLO1	Q3E784	N	
YER181C		P40097	N	
YER182W	FMP10	P40098	N	
YER183C	FAU1	P40099	N	
YER184C	TOG1	P39961	N	
YER185W	PUG1	P40100	N	
YER186C		P40101	N	
YER187W		P40102	N	
YER188C-A		P0C0V2	N	
YER188W		P40103	N	
YER189W		P40104	N	
YER190C-A		P0CL27	N	
YER190C-B		P0CX94	N	
YER190W	YRF1-2	P40105	N	
YFL001W	DEG1	P31115	N	
YFL002C	SPB4	P25808	N	
YFL002W-A	TY2B-F	P0CX63	N	
YFL002W-B	TY2A-F	P0CX61	N	
YFL003C	MSH4	P40965	N	
YFL004W	VTC2	P43585	N	
YFL005W	SEC4	P07560	Y	794814at2759
YFL007W	BLM10	P43583	N	
YFL008W	SMC1	P32908	N	
YFL009W	CDC4	P07834	N	
YFL010C	WWM1	P43582	N	
YFL010W-A	AUA1	P32450	N	
YFL011W	HXT10	P43581	N	
YFL012W		P43580	N	
YFL012W-A		Q03186	N	
YFL013C	IES1	P43579	N	
YFL013W-A		Q03187	N	
YFL014W	HSP12	P22943	N	
YFL015C		P43578	N	
YFL015W-A		A0A023PXD9	N	
YFL016C	MDJ1	P35191	N	
YFL017C	GNA1	P43577	Y	4947099at2759
YFL017W-A	SMX2	P40204	N	
YFL018C	LPD1	P09624	N	
YFL019C		P43576	N	
YFL020C	PAU5	P43575	N	
YFL021C-A		A0A023PXK7	N	
YFL021W	GAT1	P43574	N	
YFL022C	FRS2	P15625	N	
YFL023W	BUD27	P43573	N	
YFL024C	EPL1	P43572	N	
YFL025C	BST1	P43571	N	
YFL026W	STE2	D6VTK4	N	
YFL027C	GYP8	P43570	N	
YFL028C	CAF16	P43569	N	
YFL029C	CAK1	P43568	N	
YFL030W	AGX1	P43567	N	
YFL031C-A		Q8TGU3	N	
YFL031W	HAC1	P41546	N	
YFL032W		P43566	N	
YFL033C	RIM15	P43565	N	
YFL034C-A	RPL22B	P56628	N	
YFL034C-B	MOB2	P43563	N	
YFL034W	MIL1	P43564	N	
YFL036W	RPO41	P13433	N	
YFL037W	TUB2	P02557	Y	4581638at2759
YFL038C	YPT1	P01123	Y	794814at2759
YFL039C	ACT1	P60010	Y	5012414at2759
YFL040W		P43562	N	
YFL041W	FET5	P43561	N	
YFL041W-A		Q3E817	N	
YFL042C	LAM5	P43560	N	
YFL044C	OTU1	P43558	N	
YFL045C	SEC53	P07283	N	
YFL046W	FMP32	P43557	N	
YFL047W	RGD2	P43556	N	
YFL048C	EMP47	P43555	N	
YFL049W	SWP82	P43554	N	
YFL050C	ALR2	P43553	N	
YFL051C		P43552	N	
YFL052W	ZNF1	P43551	N	
YFL053W	DAK2	P43550	N	
YFL054C	AQY3	P43549	N	
YFL055W	AGP3	P43548	Y	1723139at2759
YFL056C	AAD6	P43547	N	
YFL057C		P43546	N	
YFL058W	THI5	P43534	N	
YFL059W	SNZ3	P43545	N	
YFL060C	SNO3	P43544	N	
YFL061W	DDI2	P0CH63	N	
YFL062W	COS4	P43542	N	
YFL063W		P43541	N	
YFL064C		P43540	N	
YFL065C		P43539	N	
YFL066C		P43538	N	
YFL067W		P43537	N	
YFL068W		P0CX99	N	
YFR001W	LOC1	P43586	N	
YFR002W	NIC96	P34077	N	
YFR003C	YPI1	P43587	N	
YFR004W	RPN11	P43588	N	
YFR005C	SAD1	P43589	N	
YFR006W		P43590	N	
YFR007W	YFH7	P43591	N	
YFR008W	FAR7	P43592	N	
YFR009W	GCN20	P43535	N	
YFR009W-A		P0C5M9	N	
YFR010W	UBP6	P43593	N	
YFR010W-A		P0C5N0	N	
YFR011C	MIC19	P43594	N	
YFR012W	DCV1	P43595	N	
YFR012W-A		Q3E838	N	
YFR013W	IOC3	P43596	N	
YFR014C	CMK1	P27466	Y	587115at2759
YFR015C	GSY1	P23337	N	
YFR016C	AIP5	P43597	N	
YFR017C	IGD1	P43598	N	
YFR018C		P43599	N	
YFR019W	FAB1	P34756	N	
YFR020W	CSS2	P43600	N	
YFR021W	ATG18	P43601	N	
YFR022W	ROG3	P43602	N	
YFR023W	PES4	P39684	Y	215877at2759
YFR024C-A	LSB3	P43603	N	
YFR025C	HIS2	P38635	N	
YFR026C	ULI1	P43604	N	
YFR027W	ECO1	P43605	N	
YFR028C	CDC14	Q00684	N	
YFR029W	PTR3	P43606	N	
YFR030W	MET10	P39692	N	
YFR031C	SMC2	P38989	N	
YFR031C-A	RPL2A	P0CX45	N	
YFR032C	RRT5	P43607	N	
YFR032C-A	RPL29	P05747	N	
YFR032C-B		Q8TGU2	N	
YFR033C	QCR6	P00127	N	
YFR034C	PHO4	P07270	N	
YFR034W-A		Q8TGR2	N	
YFR035C		P43608	N	
YFR035W-A		P9WEJ4	N	
YFR036W	CDC26	P14724	N	
YFR036W-A		A0A023PZD0	N	
YFR037C	RSC8	P43609	N	
YFR038W	IRC5	P43610	N	
YFR039C	OSW7	P43611	N	
YFR040W	SAP155	P43612	N	
YFR041C	ERJ5	P43613	N	
YFR042W	KEG1	P43614	N	
YFR043C	IRC6	P43615	N	
YFR044C	DUG1	P43616	N	
YFR045W		P43617	N	
YFR046C	CNN1	P43618	N	
YFR047C	BNA6	P43619	N	
YFR048W	RMD8	P43620	N	
YFR049W	YMR31	P19955	N	
YFR050C	PRE4	P30657	N	
YFR051C	RET2	P43621	N	
YFR052C-A		A0A023PZH4	N	
YFR052W	RPN12	P32496	N	
YFR053C	HXK1	P04806	Y	4578124at2759
YFR054C		P43622	N	
YFR055W	IRC7	P43623	N	
YFR056C		P43624	N	
YFR057W		P43625	N	
YGL001C	ERG26	P53199	N	
YGL002W	ERP6	P53198	Y	4273593at2759
YGL003C	CDH1	P53197	N	
YGL004C	RPN14	P53196	Y	5013778at2759
YGL005C	COG7	P53195	N	
YGL006W	PMC1	P38929	N	
YGL006W-A		Q3E802	N	
YGL007C-A		Q8TGU0	N	
YGL007W	BRP1	P53194	N	
YGL008C	PMA1	P05030	N	
YGL009C	LEU1	P07264	N	
YGL010W	MPO1	P25338	N	
YGL011C	SCL1	P21243	N	
YGL012W	ERG4	P25340	N	
YGL013C	PDR1	P12383	N	
YGL014C-A		P0C5N1	N	
YGL014W	PUF4	P25339	N	
YGL015C		P33199	N	
YGL016W	KAP122	P32767	N	
YGL017W	ATE1	P16639	N	
YGL018C	JAC1	P53193	N	
YGL019W	CKB1	P43639	N	
YGL020C	GET1	P53192	N	
YGL021W	ALK1	P43633	N	
YGL022W	STT3	P39007	N	
YGL023C	PIB2	P53191	N	
YGL024W		P53190	N	
YGL025C	PGD1	P40356	N	
YGL026C	TRP5	P00931	N	
YGL027C	CWH41	P53008	N	
YGL028C	SCW11	P53189	N	
YGL029W	CGR1	P53188	N	
YGL030W	RPL30	P14120	N	
YGL031C	RPL24A	P04449	N	
YGL032C	AGA2	P32781	N	
YGL033W	HOP2	P53187	N	
YGL034C		P53186	N	
YGL035C	MIG1	P27705	N	
YGL036W	VIR1	P53185	N	
YGL037C	PNC1	P53184	N	
YGL038C	OCH1	P31755	N	
YGL039W		P53183	N	
YGL040C	HEM2	P05373	N	
YGL041C		P53182	N	
YGL041C-B		Q3E750	N	
YGL041W-A		P0C5N3	N	
YGL042C		P53181	N	
YGL043W	DST1	P07273	N	
YGL044C	RNA15	P25299	Y	5014730at2759
YGL045W	RIM8	P53179	N	
YGL047W	ALG13	P53178	N	
YGL048C	RPT6	Q01939	N	
YGL049C	TIF4632	P39936	N	
YGL050W	TYW3	P53177	N	
YGL051W	MST27	P53176	N	
YGL052W		P53175	N	
YGL053W	PRM8	P53174	N	
YGL054C	ERV14	P53173	Y	4425416at2759
YGL055W	OLE1	P21147	N	
YGL056C	SDS23	P53172	N	
YGL057C	GEP7	P53171	N	
YGL058W	RAD6	P06104	N	
YGL059W	PKP2	P53170	N	
YGL060W	YBP2	P53169	N	
YGL061C	DUO1	P53168	N	
YGL062W	PYC1	P11154	N	
YGL063C-A		Q8TGP0	N	
YGL063W	PUS2	P53167	N	
YGL064C	MRH4	P53166	N	
YGL065C	ALG2	P43636	N	
YGL066W	SGF73	P53165	N	
YGL067W	NPY1	P53164	N	
YGL068W	MNP1	P53163	N	
YGL069C		P53162	N	
YGL070C	RPB9	P27999	N	
YGL071W	AFT1	P22149	N	
YGL072C		P53161	N	
YGL073W	HSF1	P10961	N	
YGL074C		P53160	N	
YGL075C	MPS2	P53159	N	
YGL076C	RPL7A	P05737	N	
YGL077C	HNM1	P19807	N	
YGL078C	DBP3	P20447	N	
YGL079W	KXD1	P53158	N	
YGL080W	MPC1	P53157	N	
YGL081W		P53156	N	
YGL082W		P53155	N	
YGL083W	SCY1	P53009	N	
YGL084C	GUP1	P53154	N	
YGL085W	LCL3	P53153	N	
YGL086W	MAD1	P40957	N	
YGL087C	MMS2	P53152	N	
YGL088W		P53151	N	
YGL089C	MF(ALPHA)2	P32435	N	
YGL090W	LIF1	P53150	N	
YGL091C	NBP35	P52920	N	
YGL092W	NUP145	P49687	N	
YGL093W	SPC105	P53148	N	
YGL094C	PAN2	P53010	N	
YGL095C	VPS45	P38932	N	
YGL096W	TOS8	P53147	N	
YGL097W	SRM1	P21827	N	
YGL098W	USE1	P53146	N	
YGL099W	LSG1	P53145	N	
YGL100W	SEH1	P53011	N	
YGL101W	YGK1	P53144	N	
YGL102C		P53143	N	
YGL103W	RPL28	P02406	N	
YGL104C	VPS73	P53142	N	
YGL105W	ARC1	P46672	N	
YGL106W	MLC1	P53141	N	
YGL107C	RMD9	P53140	N	
YGL108C		P53139	N	
YGL109W		P53138	N	
YGL110C	CUE3	P53137	N	
YGL111W	NSA1	P53136	N	
YGL112C	TAF6	P53040	N	
YGL113W	SLD3	P53135	N	
YGL114W		P53134	N	
YGL115W	SNF4	P12904	N	
YGL116W	CDC20	P26309	N	
YGL117W		P53133	N	
YGL118C		P53132	N	
YGL119W	COQ8	P27697	N	
YGL120C	PRP43	P53131	Y	194710at2759
YGL121C	GPG1	P53130	N	
YGL122C	NAB2	P32505	N	
YGL123C-A		Q8TGP1	N	
YGL123W	RPS2	P25443	N	
YGL124C	MON1	P53129	N	
YGL125W	MET13	P53128	N	
YGL126W	SCS3	P53012	N	
YGL127C	SOH1	P38633	N	
YGL128C	CWC23	P52868	Y	4932650at2759
YGL129C	RSM23	Q01163	N	
YGL130W	CEG1	Q01159	N	
YGL131C	SNT2	P53127	N	
YGL132W		P53126	N	
YGL133W	ITC1	P53125	N	
YGL134W	PCL10	P53124	N	
YGL135W	RPL1B	P0CX44	N	
YGL136C	MRM2	P53123	N	
YGL137W	SEC27	P41811	N	
YGL138C		P53122	N	
YGL139W	FLC3	P53121	N	
YGL140C		P53120	N	
YGL141W	HUL5	P53119	N	
YGL142C	GPI10	P30777	N	
YGL143C	MRF1	P30775	N	
YGL144C	ROG1	P53118	N	
YGL145W	TIP20	P33891	N	
YGL146C	RRT6	P53117	N	
YGL147C	RPL9A	P05738	N	
YGL148W	ARO2	P28777	N	
YGL149W		P53116	N	
YGL150C	INO80	P53115	N	
YGL151W	NUT1	P53114	N	
YGL152C		P53113	N	
YGL153W	PEX14	P53112	N	
YGL154C	LYS5	P50113	N	
YGL155W	CDC43	P18898	N	
YGL156W	AMS1	P22855	N	
YGL157W	ARI1	P53111	N	
YGL158W	RCK1	P38622	N	
YGL159W		P53110	N	
YGL160W	AIM14	P53109	N	
YGL161C	YIP5	P53108	N	
YGL162W	SUT1	P53032	N	
YGL163C	RAD54	P32863	N	
YGL164C	YRB30	P53107	N	
YGL165C		P53106	N	
YGL166W	CUP2	P15315	N	
YGL167C	PMR1	P13586	Y	2741472at2759
YGL168W	HUR1	P45820	N	
YGL169W	SUA5	P32579	N	
YGL170C	SPO74	P45819	N	
YGL171W	ROK1	P45818	N	
YGL172W	NUP49	Q02199	N	
YGL173C	XRN1	P22147	N	
YGL174W	BUD13	P46947	N	
YGL175C	SAE2	P46946	N	
YGL176C		P46945	N	
YGL177W		P53105	N	
YGL178W	MPT5	P39016	N	
YGL179C	TOS3	P43637	N	
YGL180W	ATG1	P53104	N	
YGL181W	GTS1	P40956	N	
YGL182C		P53103	N	
YGL183C	MND1	P53102	N	
YGL184C	STR3	P53101	N	
YGL185C		P53100	N	
YGL186C	TPN1	P53099	N	
YGL187C	COX4	P04037	N	
YGL188C		P53098	N	
YGL188C-A		Q8TGU1	N	
YGL189C	RPS26A	P39938	N	
YGL190C	CDC55	Q00362	N	
YGL191W	COX13	P32799	N	
YGL192W	IME4	P41833	N	
YGL193C		P53097	N	
YGL194C	HOS2	P53096	N	
YGL194C-A		Q2V2P6	N	
YGL195W	GCN1	P33892	N	
YGL196W	DSD1	P53095	N	
YGL197W	MDS3	P53094	N	
YGL198W	YIP4	P53093	N	
YGL199C		P53092	N	
YGL200C	EMP24	P32803	Y	4273593at2759
YGL201C	MCM6	P53091	N	
YGL202W	ARO8	P53090	N	
YGL203C	KEX1	P09620	N	
YGL204C		P53089	N	
YGL205W	POX1	P13711	N	
YGL206C	CHC1	P22137	N	
YGL207W	SPT16	P32558	N	
YGL208W	SIP2	P34164	N	
YGL209W	MIG2	P53035	N	
